youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,weapons,location,reference_code,type_of_violation
,Casualties of the chemical attack,Coordinating Sermin,ادلب سرمين حالات اختناق جديدة بين الاهالي والاطفال ,2015-03-16 00:00:00+00:00,35.900312,36.716094,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1221,Use of illegal weapons
,One of the casualties,Coordinating Sermin, اصابة طواقم الاسعاف اثناء اسعافهم المصابين بغاز الكلور,2015-03-16 00:00:00+00:00,35.900312,36.716094,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1223,Use of illegal weapons
,Place of impact of the barrel bombs that contains chemical gas,Media activist Yassin Abu Raed from Anadan media Center,سقوط برميل متفجر يحتوي على مادة الكلور,2015-03-15 00:00:00+00:00,36.287871,37.0838783,[<Weapon: Chemical Weapons>],ALEPPO : Harithan,CW_1106,Use of illegal weapons
2rEGKm_h_Ao,Remnants of the chlorine gas cylinder bomb,,"
العثور على احد الاسطوانات التي يقوم النظام السوري بملئها بغاز الكلور وضربها على الجيش الحر
",2015-03-10 08:09:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",DAMASCUS : Jobar,CW_1380,Use of illegal weapons
5-7U3FP8sGE,Suffocation cases as a result of chlorine gas attack in Dar'a,,"
حالات اختناق بغاز الكلور في المزيريب بدرعا 
",2015-03-09 13:03:00+00:00,,,[<Weapon: Chemical Weapons>],DARAA : Muzayrib,CW_1369,Use of illegal weapons
jc4DGGySRCc,The spasm suffered by one of the injured as a result of a poisoned gas attack in Harasta,,"
اختلاجات عصبية نتيجة الإصاب بالغازات السامة في مدينة حرستا
",2014-10-20 06:17:00+00:00,,,[<Weapon: Chemical Weapons>],DAMASCUS : Harasta nahiyah,CW_1372,Use of illegal weapons
,Rebel prisoners killed in chemical attack,Shaam Network S.N.N,أسرى لدى كتائب الثوار قتلوا جراء القصف بالغازات السامة,2014-09-24 00:00:00+00:00,33.6076513,36.5112588,[<Weapon: Chemical Weapons>],DAMASCUS : Adra,CW_1015,Use of illegal weapons
,Casualties of the chemical attack,Shaam Network S.N.N,حالات اختناق جراء القصف بالغازات السامة,2014-09-24 00:00:00+00:00,33.6076513,36.5112588,[<Weapon: Chemical Weapons>],DAMASCUS : Adra,CW_1016,Use of illegal weapons
,Casualties of the chemical attack,Abu Muaz Aldomani who is a citizen reporter,اسعاف الاصابات بعد القصف بالغازات السامة,2014-09-24 00:00:00+00:00,33.6076513,36.5112588,[<Weapon: Chemical Weapons>],DAMASCUS : Adra,CW_1017,Use of illegal weapons
,Casualties of the chemical attack,Shaam Network S.N.N,حالات اختناق جراء القصف بالغازات السامة,2014-09-24 00:00:00+00:00,33.6076513,36.5112588,[<Weapon: Chemical Weapons>],DAMASCUS : Adra,CW_1018,Use of illegal weapons
,"Interview with Dr. Hasan al-Araj, head of Kafr Zita field hospital",Media Office Hamah,مقابلة مع مسعف و رئيس مشفى كفرزيتا الدكتور حسن الاعرج ,2014-08-31 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1122,Use of illegal weapons
,Remans of barrel dropped during the chemical attack,KafrZita media group,بقايا البراميل المتفجرة المحملة بالمواد السامة,2014-08-30 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1123,Use of illegal weapons
,Remans of barrel dropped during the chemical attack,KafrZita media group,بقايا البراميل المتفجرة المحملة بالمواد السامة,2014-08-30 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1124,Use of illegal weapons
,Casualties of the chemical attack,KafrZita media group,اسعاف المصابين جراء القصف الكيماوي، حالات الاختناق,2014-08-30 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1129,Use of illegal weapons
,Casualties of the chemical attack,KafrZita media group,حالات اختناق نتيجة قصف المدينة بغاز الكلور السام,2014-08-30 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1130,Use of illegal weapons
,One of the doctors talking about injuries,Shaam Network S.N.N,لقاء مع احدى الاطباء يتحدث عن حالات الاحتراق,2014-08-29 00:00:00+00:00,35.261419,36.604177,[<Weapon: Chemical Weapons>],HAMA : Halfaya,CW_1098,Use of illegal weapons
,Testimony of member of rebel engineering battalion,Shaam Network S.N.N,لقاء مع احد عناصر كتيبة الهندسة يتحدث عن مواد غريبة القها الطيران المروحي السوري,2014-08-29 00:00:00+00:00,35.261419,36.604177,[<Weapon: Chemical Weapons>],HAMA : Halfaya,CW_1099,Use of illegal weapons
,Casualties of the chemical attack,Othman Alkhani who is a media activist,حالات اختناق نتيجة استهداف القرية بغاز الكلور السام,2014-08-28 00:00:00+00:00,35.399519,36.61947,[<Weapon: Chemical Weapons>],HAMA : Alsayad,CW_1043,Use of illegal weapons
,Casualties of the chemical attack,Othman Alkhani who is a media activist,حالات اختناق نتيجة استهداف القرية بغاز الكلور السام,2014-08-28 00:00:00+00:00,35.399519,36.61947,[<Weapon: Chemical Weapons>],HAMA : Alsayad,CW_1044,Use of illegal weapons
tm8segf3THY,Casualties of the chemical attack,Al-Habib almustafa brigade,إصابات نتيجة القصف بالسلاح الكيماوي,2014-08-20 00:00:00+00:00,33.531162,36.336808,[<Weapon: Chemical Weapons>],DAMASCUS : Jobar,CW_1109,Use of illegal weapons
-Qd4WLR1mEw,Testimony of doctor in one of the field hospitals,Medical Office of The Capital Damascus,طبيب ميداني يوضح وضع الحالات التي أصيبت بالغازات السامة,2014-08-20 00:00:00+00:00,33.531162,36.336808,[<Weapon: Chemical Weapons>],DAMASCUS : Jobar,CW_1117,Use of illegal weapons
pbvtCCCI6S4,Casualties of the chemical attack,Medical Office of The Capital Damascus,فيديو يظهر ضحايا القصف الكيماوي,2014-08-20 00:00:00+00:00,33.531162,36.336808,[<Weapon: Chemical Weapons>],DAMASCUS : Jobar,CW_1118,Use of illegal weapons
,Interview with survivors of the chemical attack,Syrian Revolution Coordinators Union,مقابلة مع أحد ناجين القصف الكيماوي,2014-08-20 00:00:00+00:00,33.5261956,36.3510736,[<Weapon: Chemical Weapons>],DAMASCUS : zamalka,CW_1320,Use of illegal weapons
gbtg8WrbRvI,Casualties of the chemical attack,Citizen reporter Yousef_Otman,نقطة الشهيده روان الحسن الطبيه احدى حالات الاختناق نتيجة الغازات السامه,2014-08-19 00:00:00+00:00,32.664342,36.114678,[<Weapon: Chemical Weapons>],DARAA,CW_1045,Use of illegal weapons
iNhV17ILsIo,Casualties of the chemical attack which targeted opposition forces,Forensic medicine office,استهداف قوات المعارضة بغاز الكلور,2014-07-29 00:00:00+00:00,36.197971,37.1656697,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO,CW_1040,Use of illegal weapons
,Casualties of the chemical attack,Second Hospital in Hamah Suburb,إسعاف أحد عناصر الجيش السوري الحر نتيجة الاصابة بغاز الكلور,2014-07-27 00:00:00+00:00,35.261419,36.604177,[<Weapon: Chemical Weapons>],HAMA : Halfaya,CW_1094,Use of illegal weapons
,Casualties of the chemical attack,Second Hospital in Hamah Suburb,إسعاف أحد عناصر الجيش السوري الحر نتيجة الاصابة بغاز الكلور,2014-07-27 00:00:00+00:00,35.261419,36.604177,[<Weapon: Chemical Weapons>],HAMA : Halfaya,CW_1095,Use of illegal weapons
,Casualties of the chemical attack,Second Hospital in Hamah Suburb,إسعاف أحد عناصر الجيش السوري الحر نتيجة الاصابة بغاز الكلور,2014-07-27 00:00:00+00:00,35.261419,36.604177,[<Weapon: Chemical Weapons>],HAMA : Halfaya,CW_1096,Use of illegal weapons
,Casualties of the chemical attack,Second Hospital in Hamah Suburb,إسعاف أحد عناصر الجيش السوري الحر نتيجة الاصابة بغاز الكلور,2014-07-27 00:00:00+00:00,35.261419,36.604177,[<Weapon: Chemical Weapons>],HAMA : Halfaya,CW_1097,Use of illegal weapons
,Casualties of the chemical attack,Hama national free union,حالات اختناق جراء قصف المدينة بغاز الكلور,2014-07-17 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1125,Use of illegal weapons
,Casualties of the chemical attack,Aous Hassan who is a media activist,ضحايا استهداف كفرزيتا بغاز الكلور السام,2014-07-17 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1126,Use of illegal weapons
,Casualties of the chemical attack,Hamah Media Center,اسعاف المصابين جراء القصف الكيماوي,2014-07-17 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1127,Use of illegal weapons
,Casualties of the chemical attack,Hamah Media Center,اسعاف المصابين جراء القصف الكيماوي,2014-07-17 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1128,Use of illegal weapons
3jX9r2nGZ2Q,Treating injured in a field hospital as a result of poisoned gas attack in Erbin,,"
إسعاف المصابين نتيجة القصف بالغازات السامة على عربين
",2014-06-05 07:23:00+00:00,,,[<Weapon: Chemical Weapons>],DAMASCUS : Irbin nahiyah,CW_1375,Use of illegal weapons
-0jpbgJlwiM,Testimony of one of the injured as a result of poisoned gas attack,,"
مقابلة مع أحد المصابين في عربين نتيجة القصف بالغازلت السامة
",2014-06-05 07:16:00+00:00,,,[<Weapon: Chemical Weapons>],DAMASCUS : Irbin nahiyah,CW_1374,Use of illegal weapons
Cohvs9e93qc,Testimony of one of the doctors in Erbin about the symptoms as a result of a poisoned gas attack,,"
مقابلة مع احد الاطباء في عربين يصف بها أعراض الإصابة بالغازات السامة
",2014-06-05 07:07:00+00:00,,,[<Weapon: Chemical Weapons>],DAMASCUS : Irbin nahiyah,CW_1373,Use of illegal weapons
rzN51rG9aHk,Remnants of the barrel bomb which contains chemical gas, شبكة سبيل الإعلامية ,برميل يحتوي على غاز الكلور لم ينفجر ,2014-05-29 08:15:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Tamana'ah nahiyah,CW_1415,Use of illegal weapons
c6YaqGYFGkM,The location where the chlorine barrel bomb have been dropped, abdalqader bakri,"
التمانعة مكان سقوط برميل يحتوي غاز الكلور
",2014-05-26 13:38:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Tamana'ah nahiyah,CW_1429,Use of illegal weapons
,Casualties of the chemical attack,Khan Shaykhun Unified Media Center,حالات اختناق نتيجة القصف بالغازات السامة,2014-05-26 00:00:00+00:00,35.44111,36.647174,[<Weapon: Chemical Weapons>],IDLIB : Khan Shaykhun,CW_1178,Use of illegal weapons
63zQWQ-OWxY,Victims being treated in Al-Hanin Field hospital as a result of the chemical attack, جمعية حنين,"اسعاف المصابين بالغازات السامة في 
النقطة الطبية الميدانية لجمعية حنين الخيرية في التمانعة
",2014-05-24 11:08:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1424,Use of illegal weapons
RUJ0ofdQwc8,Victims as a result of the chemical gas attack, جمعية حنين ,"اسعاف ضحايا القصف الكيماوي في 
النقطة الطبية الميدانية لجمعية حنين الخيرية في التمانعة
",2014-05-24 10:59:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1423,Use of illegal weapons
,Casualties of the chemical attack,Aous Hassan who is a media activist,استهداف المدينة بغاز الكلور السام,2014-05-23 18:55:00+00:00,35.326749,36.621766,[<Weapon: Chemical Weapons>],HAMA : latamneh,CW_1180,Use of illegal weapons
QUh8_PFYM1Y,Victims being treated in Al-Hanin field hospital as a result of the chemical gas attack,جمعية حنين,"إسعاف المصابين بالغازات الكيماوية في 
النقطة الطبية لجمية حنين الخيرية في التمانعة
",2014-05-23 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1426,Use of illegal weapons
,Report on the chemical attack,Ministry of Health,تقرير عن الهجمات الكيماوية على ريف حماه كفر زيتا,2014-05-23 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1133,Use of illegal weapons
,Report on the chemical attack by AlAn tv reporter who was effected,Al-Aan News,إصابة مراسل قناة الآن نتيجة القصف الكيماوي,2014-05-22 18:55:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1176,Use of illegal weapons
ILbEGH8itAg,Victims including children as a result of the chemical gas attack, صوت الثورة الحر ,استهداف بلدة التمانعة بالمواد السامة,2014-05-22 11:56:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1425,Use of illegal weapons
QxKI4u3mirQ,Victims as a result of the chemical gas attack in Al-Tamanah, Abo Fadi Alhuor ,بعض الاصابات بالغازات السامة في التمانعة ,2014-05-22 11:22:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1416,Use of illegal weapons
sODZWf4dl9M,One of the victims as a result of the chemical gas attack,Abo Fadi Alhuor,احد المصابين بالغاز السام في التمانعة,2014-05-22 10:17:00+00:00,35.460593,36.746932,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1421,Use of illegal weapons
VjAZFUhCefg,Victims being treated in Hanin field Hospital as a result of the chemical gas attack,Abo Fadi Alhuor,اسعاف المصابين بالغاز السام من قبل فريق حنين الطبي,2014-05-22 10:09:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1420,Use of illegal weapons
TbmL3Rtsy14,Two children died as a result of the chemical attack,Abo Fadi Alhuor,الطفلان الذين استشهدا اثر اصابتهم بالغازات السامة,2014-05-22 09:53:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1419,Use of illegal weapons
96z1ePXyzqM,Victims as a result of the chemical gas attack in Al-Tamanah,Abo Fadi Alhuor,بعض الاصابات بالغازات السامة في التمانعة,2014-05-22 09:45:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1418,Use of illegal weapons
OqFgqrSgUhA,Victims including children as a result of the chemical gas attack,Abo Fadi Alhuor,استهداف بلدة التمانعة بالغازات السامة,2014-05-22 09:33:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1417,Use of illegal weapons
TJjz-u29kFI,Victims including women and children as a result of the chlorine gas attack, Syria Mubasher, إصابات لنشاء وأطفال جراء سقوط برميل متفجر يحوي غاز الكلور,2014-05-22 07:55:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Tamana'ah nahiyah,CW_1414,Use of illegal weapons
fE_sn3IJ6cU,Civilians being suffocated as a result of the chlorine gas attack, Syria Mubasher,حالات اختناق بسب قصف برميل متفجر يحوي غاز الكلور,2014-05-22 07:50:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Tamana'ah nahiyah,CW_1413,Use of illegal weapons
89nDfRv8xy4,Victims as a result of the chlorine gas attack in Al-Tamanah, Syria Mubasher,حالات اختناق جراء استخدام غاز الكلور في بلدة التمانعة,2014-05-22 07:37:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Tamana'ah nahiyah,CW_1412,Use of illegal weapons
,Spread of green coloured gas,Mustafa Jumma who is a citizen reporter,لظة انتشار غاز الكلور السام,2014-05-22 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1131,Use of illegal weapons
,Casualties of the second chemical attack that day,Aous Hassan who is a media activist,حالات الاختناق للمرة الثانية اليوم جراء استهداف المدينة بالغازات السامة,2014-05-22 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1132,Use of illegal weapons
,Testimony of one of the doctors,KafrZita media group,شهادة احد الاطباء على القصف الكيماوي,2014-05-20 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1138,Use of illegal weapons
,Place of impact of the barrel bombs,KafrZita media group,مكان سقوط احد براميل االمحملة بغاز الكلور واخذ عينات من التربة من قبل المكتب الطبي للمدينة,2014-05-20 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1139,Use of illegal weapons
,Casualties of the chemical attack,KafrZita media group,حالات اختناق المدنيين جراء القصف بالمواد السامة,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1134,Use of illegal weapons
,Casualties of the chemical attack,KafrZita media group,حالات اختناق المدنيين جراء القصف بالمواد السامة,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1135,Use of illegal weapons
,Casualties of the chemical attack,KafrZita media group,اسعاف المصابين جراء القصف بالمواد السامة,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1136,Use of illegal weapons
,Place of impact of the barrel bombs,KafrZita media group,مكان سقوط احد البراميل المحملة بغاز الكلور,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1137,Use of illegal weapons
,Casualties of the chemical attack,Mustafa Jumma who is a citizen reporter,اسعاف المصابين جراء القصف بالمواد السامة,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1140,Use of illegal weapons
,Casualties of the chemical attack,Hamah News Center,اسعاف المصابين,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1141,Use of illegal weapons
,Child casualties of the chemical attack,Hamah News Center,اسعاف المصابين من الاطفال,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1142,Use of illegal weapons
,Casualties of the chemical attack,Hama national free union,حالات اختناق و إغماء نتيجة ضرب غاز الكلور,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1143,Use of illegal weapons
,Place of impact of the barrel bombs,Hama national free union,مكان سقوط احد البراميل المحملة بغاز الكلور,2014-05-19 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1144,Use of illegal weapons
,Place of impact of the barrel bombs,Ibrahim Abu Albaraa who is a citizen journalist, مكان سقوط البراميل التي تحوي على غاز الكلور السام,2014-05-09 00:00:00+00:00,35.373461,36.601458,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1121,Use of illegal weapons
,Casualties of the chemical attack,Shaam Network S.N.N, سرمين حالات اختناق جديدة بغاز الكلور ويتم اسعافها من قبل طواقم الاسعا,2014-05-02 03:00:00+00:00,35.900312,36.716094,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1226,Use of illegal weapons
k61hVGRHjZA,One of the victims as a result of the chemical attack on Wednesday at 23:30,الشبكة السورية الاخبارية,"احدى الاصابات بغاز الكلور يوم الاربعاء الساعة 11,30 ليلا ",2014-04-30 23:30:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Tamana'ah nahiyah,CW_1434,Use of illegal weapons
QrcDWQ2vS8c,Seven victims as a result of the chemical gas attack,الشبكة السورية الاخبارية,اصابة 7 اشخاص بغاز الكلور ببلدة التمانعة من نفس العائلة,2014-04-30 15:22:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Tamana'ah nahiyah,CW_1433,Use of illegal weapons
rr5sZQb0U08,Victims being treated in Al-Hanin hospital as a result of the chemical gas attack,الشبكة السورية الاخبارية,جمعية حنين تقوم بعلاج الاصابات نتيجة قصف بلدة التمانعة بالغازات السامة,2014-04-30 15:11:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1432,Use of illegal weapons
bdEGmho1I-0,The destruction as a result of the chlorine gas attack,الشبكة السورية الاخبارية,الدمار الذي خلفه برميل غاز الكلور السام في التمانعة,2014-04-30 15:01:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1431,Use of illegal weapons
9IImIO0VBZ4,Chlorine gas attack for the third time in a period of two weeeks, الشبكة السورية الاخبارية ,تعرض بلدة التمانعة للمرة الثالثة خلال اسبوعين للقصف ببراميل غاز الكلور السام,2014-04-30 14:03:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1430,Use of illegal weapons
KQSJ9vLL-B0,Chlorine gas attack in Al-Tamanah,شبكة سبيل الإعلامية,تعرض مدينة التمانعة ليلا للقصف ببراميل تحوي غاز الكلور السام ,2014-04-30 13:09:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1428,Use of illegal weapons
--BEZRo5XFI,Victims being treated in Hanin Field hospital as a result of the chemical gas attack, جمعية حنين ,تستقبل النقطة الطبية الميدانية لجمعية حنين الخيرية في التمانعة المصابين بالغازات السامة,2014-04-29 10:44:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1422,Use of illegal weapons
,News report on the chemical attack on Telmenes,Basma Syria,تقرير صحفي حول استهداف ريف ادلب بالغازات السامة ,2014-04-25 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1231,Use of illegal weapons
iV7q4NtIeSg,Tour of field hospitals receiving casualties of the chemical attack,Media activist Mahmoud al-Abdullah, جولة في أحد المشافي التي كانت تستقبل المصابين بغاز الكلور,2014-04-22 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1234,Use of illegal weapons
,Report on the chemical attack,SMC Center,العربية الحدث تغطية المركزالإعلامي السوري لاحداث قصف تلمنس بمادة الكلور,2014-04-22 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1244,Use of illegal weapons
,More than a hundred casualties of the chemical attack arrived to the fieled hospital in jarjanaz as a result og the chemical attack on Talmenes,Citizen reporter Mohamed Hasan al-Dagem,وصول أكثر من مئة إصابة إلى المستشفى الميداني في جرجناز نتيجة القصف الكيماوي على بلدة تلمنس,2014-04-21 00:00:00+00:00,35.617955,36.784644,[<Weapon: Chemical Weapons>],IDLIB : Jarjanaz,CW_1108,Use of illegal weapons
,One of the barrels dropped on Telmenes,al-Ma'ara Today,البرميل الذي يحوي غاز الكلور والذي قصفت به بلدة تلمنس بريف معرة النعمان الشرقي,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1230,Use of illegal weapons
,al-Jazeera Mubasher footage of casualties of chemical attack in Talmenes,Citizen reporter Mohamed Hasan al-Dagem,الجزيرة مباشر حالات اختناق نتيجة استهداف بلدة تلمنس بغاز الكلور,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1232,Use of illegal weapons
,"Chemical attack on Talmenas - barrel, casualties and dead animals",Citizen journalist heron chiko,قصف تلمنس ببرميل غاز الكلور السام,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1233,Use of illegal weapons
,Casualties of the chemical attack,Masarat, حالات الاختناق التي وصلت الى مشفى جرجناز نتيجة استهداف بلدة تلمنس بالغازات السامة,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1235,Use of illegal weapons
,Testimony of one of the ambulance staff about the chemical attack,Media activist Abu Hassan Moataz Bellah,شهادة أحد كادر الإسعاف في المشفى لما رأى بتلمنس في ضربة الكيماوي,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1236,Use of illegal weapons
,"Testimony of Dr. Mohammed Jasri, director of Sadiq Hospital, Talmenas",Media activist Abu Hassan Moataz Bellah,شهادة مدير مشفى الصديق بتلمنس د محمد الجسري,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1237,Use of illegal weapons
,Place of impact of the barrel bomb,Media activist Abu Hassan Moataz Bellah,مكان سقوط البرميل الذي حمل غاز الكلور بتلمنس,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1238,Use of illegal weapons
,Report on the chemical attack,Namr Jarjanaz,قصف بالكلور على بلدة تلمنس,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1239,Use of illegal weapons
,Casualties of the chemical attack,SMART_News_Agency, حالات الاختناق في المشفى الميداني نتيجة سقوط برميل متفجر يحوي غازات سامة,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1240,Use of illegal weapons
,Casualties of the chemical attack,SMART_News_Agency, قصف على المدينة بالغازات السامة ومحاولة اسعاف الجرحى,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1241,Use of illegal weapons
,Child casualties of the chemical attack,SMART_News_Agency,محاولة اسعاف الاطفال الذين تعرضوا للغازات السامة,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1242,Use of illegal weapons
,Child casualties of the chemical attack,SMART_News_Agency,هجمات بالغازات السامة على ريف ادلب,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1243,Use of illegal weapons
,Child casualties of the chemical attack,Abu Yasser who is a citizen journalist with SMC Center, تلمنس ريف إدلب إصابة الاطفال من القصف بالغازات السامة مادة الكلور,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1245,Use of illegal weapons
,Dead animals after the chemical attack,Abu Yasser who is a citizen journalist with SMC Center,تلمنس ريف إدلب موت الحيوانات من القصف بغازات سامة مادة الكلور,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1246,Use of illegal weapons
,Casualties of the chemical attack,Abu Yasser who is a citizen journalist with SMC Center,تلمنس ريف إدلب هلع بين المواطنين من القصف بغازات سامة مادة الكلور,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1247,Use of illegal weapons
,Child casualties of the chemical attack,SMC Center,تلمنس ريف إدلب إصابة الاطفال من القصف بالغازات السامة مادة الكلور,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1248,Use of illegal weapons
,Casualties of the chemical attack,SMC Center,تلمنس ريف إدلب هلع بين المواطنين من القصف بغازات سامة مادة الكلور,2014-04-21 00:00:00+00:00,35.638427,36.733459,[<Weapon: Chemical Weapons>],IDLIB : Tall Manissss,CW_1249,Use of illegal weapons
